id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1545402046412517376,1545402046412517376,2022-07-08 20:38:54 WIB,2022-07-08,20:38:54,+0700,60178786,jjkookssi,≮ 211120,,Dri tdi udh beli gofood. Tapi gak pengen makan wkwk,in,[],[],[],0,0,0,[],[],https://twitter.com/jjkookssi/status/1545402046412517376,False,,0,,,,,,,,[],,,,
1545401802711248898,1545401802711248898,2022-07-08 20:37:56 WIB,2022-07-08,20:37:56,+0700,137923271,_yosi_h,YH 🇮🇩,,"Ngecek di GoFood, yang jual yang terdekat dari rumah saya jaraknya 15 km. 😭😭😭",in,[],[],[],0,0,0,[],[],https://twitter.com/_yosi_h/status/1545401802711248898,False,https://twitter.com/habibthink/status/1545306054174851072,0,,,,,,,,[],,,,
1545401768905154560,1545401768905154560,2022-07-08 20:37:48 WIB,2022-07-08,20:37:48,+0700,55513165,seblakpawonevan,Seblak Pawonevan,,"Lagi musim rating anjlok di gojek ya Semua temen yg usaha kuliner, rating anjlok 1 point di GoFood",in,[],[],[],0,0,0,[],[],https://twitter.com/seblakpawonevan/status/1545401768905154560,False,,0,,,,,,,,[],,,,
1545401234148171776,1545397829073776640,2022-07-08 20:35:41 WIB,2022-07-08,20:35:41,+0700,1386971881857708032,gwacoan,jean metal,,@noctuarry gofood dongg,in,[],[],[],1,0,0,[],[],https://twitter.com/gwacoan/status/1545401234148171776,False,,0,,,,,,,,"[{'screen_name': 'noctuarry', 'name': 'Radi.', 'id': '867919969434062848'}]",,,,
1545401066358919169,1545204028706938881,2022-07-08 20:35:01 WIB,2022-07-08,20:35:01,+0700,1267820815136878593,onizuka_ponpon,onizuka fukada,,"@loosnee @GKadang2 cukup simpel bang, dari biaya layanan, harga makanan yg sudah dinaikan, biaya pengemasan, jasa aplikasi dll. jd kl ada orang yg bilang ""gue selalu pk gofood krn dpt diskon mulu"" ya itu duit2 lu yg muter terus disitu sebetulnya",in,[],[],[],0,0,0,[],[],https://twitter.com/Onizuka_ponpon/status/1545401066358919169,False,,0,,,,,,,,"[{'screen_name': 'loosnee', 'name': 'taa~', 'id': '1402075068830609413'}, {'screen_name': 'GKadang2', 'name': 'Gojeeek (E-nya tiga)', 'id': '1175221490586800128'}]",,,,
1545400921072357377,1544971526491226118,2022-07-08 20:34:26 WIB,2022-07-08,20:34:26,+0700,3268223833,rico_katsumoto,Bank Tonang,,@GojekOnTwitt @gojekindonesia @gofoodindonesia Mudah terbakar bah. Wkwk 🤣🤣,in,[],[],[],0,0,0,[],[],https://twitter.com/rico_katsumoto/status/1545400921072357377,False,,0,,,,,,,,"[{'screen_name': 'GojekOnTwitt', 'name': '••• BORN TO RIDE •••', 'id': '1131251203357065216'}, {'screen_name': 'gojekindonesia', 'name': 'Gojek Indonesia', 'id': '226481275'}, {'screen_name': 'gofoodindonesia', 'name': 'GoFood Indonesia', 'id': '1105408086569672706'}]",,,,
1545400464459517952,1528350334770630657,2022-07-08 20:32:37 WIB,2022-07-08,20:32:37,+0700,1527163773353459712,mxmffwnd4,maximoff || jual app premium,,Testi voc gofood minggu lalu 🕊 #testimaximoff  https://t.co/CqnX9rHPTA,in,[],[],['https://pbs.twimg.com/media/FXJdh4KakAELohp.jpg'],0,0,0,['testimaximoff'],[],https://twitter.com/mxmffwnd4/status/1545400464459517952,False,,1,https://pbs.twimg.com/media/FXJdh4KakAELohp.jpg,,,,,,,[],,,,
1545400425838325761,1545400425838325761,2022-07-08 20:32:28 WIB,2022-07-08,20:32:28,+0700,1089436785636044803,lahsapenich,badut,,"wts voucher gofood 20k/10k sekitaran bandung bisa dm yak, ga kepake soalnya, masing-masing sisa 1",in,[],[],[],0,0,0,[],[],https://twitter.com/lahsapenich/status/1545400425838325761,False,,0,,,,,,,,[],,,,
1545400333299421184,1545294121853648897,2022-07-08 20:32:06 WIB,2022-07-08,20:32:06,+0700,1482979098968604672,areumdewi,Areumchim,,@gofoodindonesia Jimin jimin  Forever with jimin  Always listening gorgeous song #WithYou by #JIMIN of #BTS @BTS_twt and Sungwoon!,en,"[{'screen_name': 'bts_twt', 'name': '방탄소년단', 'id': '335141638'}]",[],[],0,0,1,"['withyou', 'jimin', 'bts']",[],https://twitter.com/AreumDewi/status/1545400333299421184,False,,0,,,,,,,,"[{'screen_name': 'gofoodindonesia', 'name': 'GoFood Indonesia', 'id': '1105408086569672706'}]",,,,
1545400305671864320,1545400305671864320,2022-07-08 20:31:59 WIB,2022-07-08,20:31:59,+0700,1265124480201834496,biliaxa,❥,,@gojekindonesia kirain kalau udh jadi anak sultan di goclub bakal banyak dapat voucher promo gofood. ternyata vouchernya cuma sekali pakeee🥹,in,[],[],[],2,0,1,[],[],https://twitter.com/biliaxa/status/1545400305671864320,False,,0,,,,,,,,[],,,,
